Imagen,Area,Perimetro,Circularidad
img_1.jpg,9853.250000,514.000000,0.468666
img_1.jpg,9841.125000,514.000000,0.468089
img_1.jpg,9848.125000,514.000000,0.468422
img_1.jpg,9879.375000,516.000000,0.466273
img_10.jpg,8424.875000,450.000000,0.522815
img_10.jpg,8466.125000,452.000000,0.520736
img_10.jpg,8461.875000,458.000000,0.506927
img_10.jpg,8408.750000,448.000000,0.526484
img_10.jpg,8422.500000,446.000000,0.532085
img_11.jpg,11791.250000,488.000000,0.622200
img_11.jpg,9783.125000,486.000000,0.520493
img_11.jpg,8355.625000,732.000000,0.195960
img_11.jpg,14458.625000,616.000000,0.478823
img_11.jpg,11789.625000,490.000000,0.617046
img_11.jpg,14461.500000,616.000000,0.478919
img_11.jpg,16992.250000,684.000000,0.456403
img_11.jpg,14472.000000,604.000000,0.498499
img_11.jpg,9802.250000,488.000000,0.517245
img_11.jpg,17010.125000,684.000000,0.456883
img_11.jpg,8202.125000,726.000000,0.195552
img_11.jpg,17031.000000,690.000000,0.449523
img_11.jpg,11791.250000,488.000000,0.622200
img_11.jpg,8319.500000,728.000000,0.197262
img_11.jpg,9859.750000,484.000000,0.528914
img_12.jpg,11791.250000,488.000000,0.622200
img_12.jpg,9783.125000,486.000000,0.520493
img_12.jpg,8355.625000,732.000000,0.195960
img_12.jpg,14435.625000,616.000000,0.478062
img_12.jpg,11789.625000,490.000000,0.617046
img_12.jpg,14418.500000,614.000000,0.480610
img_12.jpg,16981.500000,686.000000,0.453459
img_12.jpg,14474.000000,604.000000,0.498568
img_12.jpg,9801.500000,490.000000,0.512992
img_12.jpg,17021.000000,682.000000,0.459861
img_12.jpg,8202.125000,726.000000,0.195552
img_12.jpg,17015.000000,682.000000,0.459698
img_12.jpg,8241.500000,726.000000,0.196491
img_12.jpg,11791.250000,488.000000,0.622200
img_12.jpg,9859.750000,484.000000,0.528914
img_12.jpg,16991.500000,708.000000,0.425966
img_12.jpg,11787.375000,488.000000,0.621996
img_12.jpg,9852.250000,488.000000,0.519883
img_12.jpg,8372.500000,736.000000,0.194227
img_12.jpg,14481.750000,602.000000,0.502155
img_13.jpg,32608.750000,914.000000,0.490514
img_14.jpg,11785.125000,488.000000,0.621877
img_14.jpg,8355.625000,732.000000,0.195960
img_14.jpg,9810.250000,488.000000,0.517667
img_14.jpg,11789.625000,490.000000,0.617046
img_14.jpg,14497.500000,608.000000,0.492829
img_14.jpg,16998.625000,680.000000,0.461962
img_14.jpg,14480.750000,602.000000,0.502120
img_14.jpg,9852.000000,486.000000,0.524157
img_14.jpg,17009.125000,684.000000,0.456856
img_14.jpg,8309.250000,728.000000,0.197019
img_15.jpg,9867.125000,514.000000,0.469326
img_15.jpg,9845.250000,514.000000,0.468285
img_16.jpg,25278.000000,718.000000,0.616174
img_17.jpg,9843.750000,770.000000,0.208636
img_17.jpg,9367.250000,776.000000,0.195478
img_17.jpg,9401.250000,756.000000,0.206705
img_17.jpg,9665.500000,812.000000,0.184214
img_18.jpg,8272.000000,714.000000,0.203903
img_18.jpg,11796.125000,488.000000,0.622457
img_18.jpg,14473.250000,606.000000,0.495257
img_18.jpg,9872.500000,490.000000,0.516708
img_18.jpg,16987.375000,678.000000,0.464383
img_19.jpg,8426.875000,450.000000,0.522939
img_19.jpg,8477.375000,454.000000,0.516844
img_19.jpg,8461.875000,458.000000,0.506927
img_19.jpg,8412.750000,448.000000,0.526735
img_2.jpg,10568.125000,862.000000,0.178728
img_20.jpg,9297.500000,736.000000,0.215685
img_20.jpg,8839.875000,748.000000,0.198542
img_20.jpg,8906.625000,780.000000,0.183964
img_21.jpg,11722.875000,484.000000,0.628859
img_21.jpg,11738.500000,488.000000,0.619417
img_21.jpg,11728.125000,486.000000,0.623973
img_21.jpg,11737.500000,488.000000,0.619364
img_21.jpg,11729.875000,484.000000,0.629234
img_22.jpg,8824.000000,716.000000,0.216296
img_22.jpg,8416.750000,702.000000,0.214625
